Local Government Area,Total Involved in Accident,Total Fatality,Region
(FALLS CREEK),6,0,NORTH EASTERN REGION
(FRENCH ISLAND),2,1,EASTERN REGION
(LAKE MOUNTAIN),4,0,NORTH EASTERN REGION
(MOUNT BAW BAW),4,0,EASTERN REGION
(MOUNT BULLER),11,1,NORTH EASTERN REGION
(MOUNT HOTHAM),25,0,NORTH EASTERN REGION
(MOUNT STIRLING),3,0,NORTH EASTERN REGION
ALPINE,236,4,NORTH EASTERN REGION
ARARAT,232,6,WESTERN REGION
BALLARAT,2217,17,WESTERN REGION
BANYULE,1702,9,METROPOLITAN NORTH WEST REGION
BASS COAST,637,6,EASTERN REGION
BAW BAW,805,10,EASTERN REGION
BAYSIDE,1362,8,METROPOLITAN NORTH WEST REGION
BENALLA,368,12,NORTH EASTERN REGION
BENDIGO,2170,21,NORTHERN REGION
BOROONDARA,2279,10,METROPOLITAN NORTH WEST REGION
BRIMBANK,3726,28,METROPOLITAN NORTH WEST REGION
BULOKE,104,5,NORTHERN REGION
CAMPASPE,657,14,NORTHERN REGION
CARDINIA,1627,24,METROPOLITAN SOUTH EAST REGION
CASEY,5346,24,METROPOLITAN SOUTH EAST REGION
CENTRAL GOLDFIELDS,173,4,WESTERN REGION
COLAC OTWAY,778,14,SOUTH WESTERN REGION
CORANGAMITE,407,9,SOUTH WESTERN REGION
DANDENONG,4252,16,METROPOLITAN SOUTH EAST REGION
DAREBIN,2776,8,METROPOLITAN NORTH WEST REGION
EAST GIPPSLAND,851,27,EASTERN REGION
FRANKSTON,2079,11,METROPOLITAN SOUTH EAST REGION
GANNAWARRA,133,5,NORTHERN REGION
GEELONG,4506,25,SOUTH WESTERN REGION
GLEN EIRA,2319,8,METROPOLITAN SOUTH EAST REGION
GLENELG,328,14,SOUTH WESTERN REGION
GOLDEN PLAINS,404,13,SOUTH WESTERN REGION
HEPBURN,253,12,WESTERN REGION
HINDMARSH,73,2,WESTERN REGION
HOBSONS BAY,1606,7,METROPOLITAN NORTH WEST REGION
HORSHAM,327,9,WESTERN REGION
HUME,3885,19,METROPOLITAN NORTH WEST REGION
INDIGO,242,12,NORTH EASTERN REGION
KINGSTON,2784,14,METROPOLITAN SOUTH EAST REGION
KNOX,2498,15,METROPOLITAN SOUTH EAST REGION
LATROBE,1085,14,EASTERN REGION
LODDON,159,6,NORTHERN REGION
MACEDON RANGES,641,13,NORTHERN REGION
MANNINGHAM,1558,8,METROPOLITAN SOUTH EAST REGION
MANSFIELD,191,8,NORTH EASTERN REGION
MARIBYRNONG,1505,14,METROPOLITAN NORTH WEST REGION
MAROONDAH,1752,7,METROPOLITAN SOUTH EAST REGION
MELBOURNE,6070,12,METROPOLITAN NORTH WEST REGION
MELTON,1984,19,METROPOLITAN NORTH WEST REGION
MILDURA,950,9,WESTERN REGION
MITCHELL,891,17,NORTHERN REGION
MOIRA,454,19,NORTH EASTERN REGION
MONASH,3470,17,METROPOLITAN SOUTH EAST REGION
MOONEE VALLEY,1825,10,METROPOLITAN NORTH WEST REGION
MOORABOOL,508,13,WESTERN REGION
MORELAND,3416,12,METROPOLITAN NORTH WEST REGION
MORNINGTON PENINSULA,2290,23,METROPOLITAN SOUTH EAST REGION
MOUNT ALEXANDER,233,6,NORTHERN REGION
MOUNT BULLER ALPINE RESOR,2,0,NORTH EASTERN REGION
MOYNE,299,5,SOUTH WESTERN REGION
MURRINDINDI,380,23,NORTH EASTERN REGION
NILLUMBIK,902,9,METROPOLITAN NORTH WEST REGION
NORTHERN GRAMPIANS,212,10,WESTERN REGION
PORT PHILLIP,2027,4,METROPOLITAN NORTH WEST REGION
PYRENEES,118,4,WESTERN REGION
QUEENSCLIFFE,12,0,SOUTH WESTERN REGION
SHEPPARTON,1416,26,NORTH EASTERN REGION
SOUTH GIPPSLAND,599,14,EASTERN REGION
SOUTHERN GRAMPIANS,211,7,SOUTH WESTERN REGION
STONNINGTON,2170,8,METROPOLITAN SOUTH EAST REGION
STRATHBOGIE,319,9,NORTH EASTERN REGION
SURF COAST,510,10,SOUTH WESTERN REGION
SWAN HILL,357,6,NORTHERN REGION
TOWONG,111,4,NORTH EASTERN REGION
WANGARATTA,417,13,NORTH EASTERN REGION
WARRNAMBOOL,500,3,SOUTH WESTERN REGION
WELLINGTON,655,17,EASTERN REGION
WEST WIMMERA,74,1,WESTERN REGION
WHITEHORSE,2414,11,METROPOLITAN SOUTH EAST REGION
WHITTLESEA,3584,16,METROPOLITAN NORTH WEST REGION
WODONGA,454,4,NORTH EASTERN REGION
WYNDHAM,2425,23,METROPOLITAN NORTH WEST REGION
YARRA,2445,5,METROPOLITAN NORTH WEST REGION
YARRA RANGES,2802,27,METROPOLITAN SOUTH EAST REGION
YARRIAMBIACK,57,3,WESTERN REGION